"plate"	"sample"	"strain"	"concentration"	"max_slope"	"max_size"
"310"	6	"B9"	"Windsor"	"0"	0.210076	1.1025
"311"	6	"C10"	"LL13_54"	"2"	0.155168	1.0766
"312"	6	"C11"	"BY_2n"	"2"	0.112676	1.0444
"313"	6	"C2"	"BY_1n"	"2"	0.0962599999999998	1.0965
"314"	6	"C3"	"cot1"	"2"	0.0725479999999999	0.86505
"315"	6	"C4"	"BY_2n"	"2"	0.105828	1.0545
"316"	6	"C5"	"LL13_40"	"2"	0.147376	1.0854
"317"	6	"C6"	"LL13_54"	"2"	0.163572	1.1354
"318"	6	"C7"	"Jean_Talon"	"2"	0.206228	1.144
"319"	6	"C8"	"London"	"2"	0.192216	1.1339
"320"	6	"C9"	"Windsor"	"2"	0.192324492956622	1.1255
"321"	6	"D10"	"LL13_54"	"4"	0.111790969014588	0.94822
"322"	6	"D11"	"BY_2n"	"4"	0.0287759999999999	0.3603
"323"	6	"D2"	"BY_1n"	"4"	0.020056	0.3505
"324"	6	"D3"	"cot1"	"4"	0.014511137980437	0.32215
"325"	6	"D4"	"BY_2n"	"4"	0.030044	0.36152
"326"	6	"D5"	"LL13_40"	"4"	0.118732	0.7517
"327"	6	"D6"	"LL13_54"	"4"	0.120596	0.88293
"328"	6	"D7"	"Jean_Talon"	"4"	0.159188	0.7585
"329"	6	"D9"	"Windsor"	"4"	0.121808	0.80125
"330"	6	"E10"	"LL13_54"	"6"	0.02272	0.415
"331"	6	"E11"	"BY_2n"	"6"	0.010196	0.307
"332"	6	"E2"	"BY_1n"	"6"	0.00778800000000001	0.28802
"333"	6	"E3"	"cot1"	"6"	0.00650400000000002	0.24732
"334"	6	"E4"	"BY_2n"	"6"	0.00933793599507023	0.29965
"335"	6	"E5"	"LL13_40"	"6"	0.02236	0.46545
"336"	6	"E6"	"LL13_54"	"6"	0.018412	0.41178
"337"	6	"E7"	"Jean_Talon"	"6"	0.0360119680130344	0.50813
"338"	6	"E8"	"London"	"6"	0.0263741457748019	0.46075
"339"	6	"E9"	"Windsor"	"6"	0.03292	0.6108
"340"	6	"F10"	"LL13_54"	"8"	0.0049703363727387	0.25283
"341"	6	"F11"	"BY_2n"	"8"	0.00570399999999999	0.24848
"342"	6	"F2"	"BY_1n"	"8"	0.00507999999999999	0.25603
"343"	6	"F3"	"cot1"	"8"	0.00603599999999999	0.23418
"344"	6	"F4"	"BY_2n"	"8"	0.00627390624414737	0.263
"345"	6	"F5"	"LL13_40"	"8"	0.0051942102014642	0.25777
"346"	6	"F6"	"LL13_54"	"8"	0.00532624038400472	0.25838
"347"	6	"F7"	"Jean_Talon"	"8"	0.0180101105914412	0.39582
"348"	6	"F8"	"London"	"8"	0.0173160000000001	0.40735
"349"	6	"F9"	"Windsor"	"8"	0.0221919999999999	0.48052
"350"	6	"G10"	"LL13_54"	"10"	0.00460800000000003	0.21398
"351"	6	"G11"	"BY_2n"	"10"	0.00468296444217737	0.2251
"352"	6	"G2"	"BY_1n"	"10"	0.00472800000000006	0.2302
"353"	6	"G3"	"cot1"	"10"	0.005332	0.22913
"354"	6	"G4"	"BY_2n"	"10"	0.00581071732951112	0.24607
"355"	6	"G5"	"LL13_40"	"10"	0.0047920000000001	0.22883
"356"	6	"G6"	"LL13_54"	"10"	0.00439200000000003	0.21085
"357"	6	"G7"	"Jean_Talon"	"10"	0.00996181332130772	0.32147
"358"	6	"G8"	"London"	"10"	0.00590400000000004	0.25525
"359"	6	"G9"	"Windsor"	"10"	0.00721600000000009	0.29055
