"VcfName","Pop"
"CLD.variant","04.M"
"CLG.variant","M3.M"
"CLH.variant","01.W"
"CLI.variant","25.S"
"CLK.variant","25.S"
"CLL.variant","25.S"
"CLM.variant","25.S"
"CLN.variant","25.S"
"CLP.variant","25.S"
"CLQ.variant","25.S"
"CLR.variant","25.S"
"CLS.variant","25.S"
"CLT.variant","25.S"
"CLV.variant","25.S"
"CMB.variant","25.S"
"CMC.variant","25.S"
"CMD.variant","25.S"
"CME.variant","25.S"
"CMF.variant","25.S"
"CMG.variant","M3.M"
"CMH.variant","25.S"
"CMI.variant","25.S"
"CMK.variant","25.S"
"CML.variant","25.S"
"CMM.variant","25.S"
"CMN.variant","25.S"
"CMP.variant","21.E"
"CMQ.variant","21.E"
"CMS.variant","unk"
"CMT.variant","03.B"
"CNB.variant","03.B"
"CNC.variant","M3.M"
"CNE.variant","03.B"
"CNF.variant","03.B"
"CNG.variant","03.B"
"CNH.variant","03.B"
"CNI.variant","03.B"
"CNK.variant","03.B"
"CNL.variant","03.B"
"CNM.variant","03.B"
"CNN.variant","03.B"
"CNP.variant","03.B"
"CNQ.variant","03.B"
"CNR.variant","03.B"
"CNS.variant","03.B"
"CNT.variant","03.B"
"CNV.variant","03.B"
"CPA.variant","unk"
"CPB.variant","M1.M"
"CPC.variant","M3.M"
"CPD.variant","07.M"
"CPE.variant","01.W"
"CPF.variant","01.W"
"CPG.variant","02.A"
"CPI.variant","09.M"
"CPK.variant","09.M"
"CPL.variant","09.M"
"CPM.variant","09.M"
"CPN.variant","09.M"
"CPQ.variant","09.M"
"CPR.variant","09.M"
"CPS.variant","13.A"
"CPT.variant","13.A"
"CQA.variant","13.A"
"CQB.variant","13.A"
"CQC.variant","12.W"
"CQD.variant","12.W"
"CQE.variant","12.W"
"CQF.variant","12.W"
"CQG.variant","12.W"
"CQH.variant","12.W"
"CQI.variant","12.W"
"CQK.variant","12.W"
"CQL.variant","12.W"
"CQM.variant","12.W"
"CQN.variant","12.W"
"CQP.variant","12.W"
"CQQ.variant","25.S"
"CQR.variant","25.S"
"CQS.variant","unk"
"CQT.variant","01.W"
"CQV.variant","01.W"
"CRA.variant","01.W"
"CRB.variant","01.W"
"CRC.variant","01.W"
"CRD.variant","01.W"
"CRE.variant","M3.M"
"CRG.variant","01.W"
"CRH.variant","01.W"
"CRI.variant","01.W"
"CRK.variant","01.W"
"CRL.variant","01.W"
"SACE_GAL.variant","13.A"
"SACE_GAP.variant","01.W"
"SACE_GAS.variant","unk"
"SACE_GAT.variant","unk"
"SACE_GAV.variant","M3.M"
"SACE_MAA.variant","M2.M"
"SACE_MAB.variant","M3.M"
